;Parameter__Hoedanigheid__Eenheid;Unnamed: 1;2PFC6yC2a1sf__NVT__ug/l;Cl__NVT__ug/l;FRD-903__NVT__ug/l;L_PFBS__NVT__ug/l;L_PFHpS__NVT__ug/l;L_PFHxS__NVT__ug/l;NKj__N__ug/l;Ntot__N__ug/l;O2__NVT__%;O2__NVT__ug/l;PFBA__NVT__ug/l;PFC5asfzr__NVT__ug/l;PFDA__NVT__ug/l;PFHpA__NVT__ug/l;PFHxA__NVT__ug/l;PFNA__NVT__ug/l;PFOA__NVT__ug/l;PFOS__NVT__ug/l;PFPA__NVT__ug/l;PFUdA__NVT__ug/l;PO4__Pnf__ug/l;Ptot__P__ug/l;T__NVT__oC;pH__NVT__DIMSLS;sverttPFOS__NVT__ug/l
515;40;NL40_C-370309__NL40_BOP_2712;0.0;503000.0;0.0;0.00607;0.000248;0.00418;2200.0;3400.0;48.0;5000.0;0.0109;0.00059;0.00029;0.00245;0.00462;0.000493;0.00429;0.00592;0.00714;0.0;168.0;380.0;13.5;7.3;0.00536
516;40;NL40_C-370361__NL40_DWOP0703;0.0;119000.0;0.0052;0.0045;0.0;0.0013;1800.0;2500.0;45.0;4800.0;0.015;0.0;0.0;0.0043;0.012;0.0008;0.051;0.0026;0.02;0.0;34.1;130.0;13.0;7.7;0.0032
517;40;NL40_C-370362__NL40_DWOP0705;0.0;115000.0;0.0064;0.0072;0.0;0.0016;1500.0;1600.0;44.0;4700.0;0.012;0.0;0.0006;0.0063;0.011;0.0008;0.058;0.002;0.0084;0.0;26.7;100.0;13.0;7.8;0.0035
518;40;NL40_C-370367__NL40_DWOP1002;0.0;58500.0;0.0086;0.0072;0.0;0.0011;2200.0;2300.0;68.0;7300.0;0.0062;0.0;0.0;0.0024;0.0049;0.0005;0.014;0.0022;0.0037;0.0;11.2;230.0;12.9;7.9;0.0032
519;40;NL40_C-370369__NL40_DWOP1005;0.0;69300.0;0.0058;0.0056;0.0;0.0011;1500.0;1800.0;60.0;6400.0;0.014;0.0;0.0006;0.03;0.047;0.0014;0.09;0.0027;0.016;0.0;13.7;96.0;12.8;7.9;0.0034
520;40;NL40_C-370370__NL40_DWOP1301;0.0;71800.0;0.0003;0.0068;0.0;0.0012;800.0;1700.0;80.0;8500.0;0.0046;0.0;0.0;0.0016;0.0032;0.0;0.01;0.0018;0.0027;0.0;7.44;43.0;13.5;8.0;0.0024
522;40;NL40_C-370408__NL40_YOP_0601;0.0;60300.0;0.00958;0.0056;0.0;0.00116;850.0;2400.0;41.0;4200.0;0.00879;0.000292;0.00039;0.00246;0.00485;0.000577;0.00927;0.00241;0.0062;0.0;61.9;110.0;14.2;7.4;0.00187
535;41;NL38_75405__NL38_342420;0.0017;55000.0;0.0013;0.0034;0.0;0.0007;1400.0;3500.0;66.0;6900.0;0.005;0.0;0.0007;0.0023;0.006;0.0006;0.0053;0.0012;0.0038;0.0;92.8;220.0;13.7;7.5;0.0012
536;41;NL38_75744__NL38_340438;0.0042;62800.0;0.0002;0.0045;0.0;0.0031;980.0;2100.0;61.0;6300.0;0.01;0.001;0.0;0.0027;0.007;0.0006;0.0074;0.0023;0.0049;0.0;36.2;130.0;14.0;7.3;0.0049
537;41;NL40_C-370502__NL40_BO_15;0.0;195000.0;0.0;0.00653;0.0;0.00116;810.0;3800.0;62.0;6100.0;0.00688;0.000237;0.000284;0.00262;0.00697;0.000463;0.00376;0.00183;0.0062;0.0;178.0;220.0;16.6;7.5;0.0019
538;41;NL40_C-370581__NL40_HOP_1011;0.0;71600.0;0.0008;0.0056;0.0;0.0006;1400.0;3300.0;27.0;2900.0;0.0062;0.0;0.0;0.0012;0.0023;0.0;0.007;0.0016;0.0018;0.0;81.5;130.0;12.8;7.4;0.0016
542;42;NL40_C-370631__NL40_YOP_0132;0.0044;82800.0;0.0083;0.013;0.0;0.0016;980.0;1700.0;28.0;2900.0;0.015;0.0;0.001;0.0098;0.019;0.0012;0.049;0.004;0.0099;0.0;62.2;120.0;14.0;7.3;0.0038
543;42;NL40_C-370673__NL40_DWOP1019;0.0;78500.0;0.00717;0.00513;0.0;0.000939;1700.0;2500.0;47.0;5200.0;0.0108;0.000267;0.000495;0.00442;0.00583;0.000782;0.0537;0.0021;0.00654;0.000116;15.0;88.0;11.4;7.6;0.00173
564;44;NL40_C-370792__NL40_BOP_2712;0.0;470000.0;0.0;0.00362;0.000193;0.00328;3200.0;4100.0;59.0;6700.0;0.0105;0.000603;0.000259;0.00211;0.00346;0.000456;0.00512;0.00467;0.00519;0.0;68.0;310.0;9.8;7.6;0.00353
565;44;NL40_C-370859__NL40_YOP_1406;0.0;72600.0;0.0;0.00654;0.000294;0.00494;900.0;1200.0;79.0;9100.0;0.0117;0.0011;0.000751;0.00743;0.0159;0.000801;0.00913;0.00388;0.0142;0.0;0.0;46.0;9.8;8.0;0.00457
566;44;NL40_C-370872__NL40_DWOP1301;0.0;80400.0;0.0012;0.0085;0.0;0.0012;830.0;1300.0;60.0;6800.0;0.0051;0.0;0.0;0.0021;0.0034;0.0;0.035;0.0017;0.0036;0.0;0.0;54.0;10.3;7.9;0.0026
569;44;NL40_C-371002__NL40_BO_95DIEP;0.0039;418000.0;0.0021;0.0061;0.0;0.011;1300.0;1500.0;74.0;8200.0;0.014;0.0012;0.0011;0.011;0.021;0.0023;0.035;0.016;0.019;0.0;15.2;61.0;11.4;7.9;0.021
583;45;NL38_75729__NL38_140216;0.0018;86800.0;0.0027;0.0023;0.0;0.0006;1700.0;3900.0;82.0;9300.0;0.0029;0.0;0.0;0.0027;0.0084;0.0;0.0063;0.001;0.005;0.0;35.0;250.0;10.4;7.5;0.0014
584;45;NL38_75745__NL38_340438;0.0017;64900.0;0.0002;0.0042;0.0;0.0031;1200.0;3200.0;67.0;7700.0;0.0049;0.0012;0.0;0.0025;0.0069;0.0;0.0059;0.0018;0.0034;0.0;21.2;220.0;9.7;7.7;0.0031
585;45;NL40_C-370941__NL40_DWOP1002;0.0;68600.0;0.0091;0.0049;0.0;0.0008;1200.0;1300.0;35.0;4000.0;0.0037;0.0;0.0;0.0022;0.0041;0.0;0.013;0.0027;0.0033;0.0;198.0;300.0;9.9;7.6;0.0037
586;45;NL40_C-370979__NL40_HOP_1011;0.0;74500.0;0.0005;0.0044;0.0;0.0;1900.0;4100.0;38.0;4500.0;0.0058;0.0;0.0;0.0009;0.0015;0.0;0.0073;0.0021;0.0015;0.0;45.4;160.0;8.9;7.6;0.0023
601;46;NL38_75723__NL38_140213;0.0;54500.0;0.0082;0.0015;0.0;0.0;1800.0;4300.0;82.0;9600.0;0.0029;0.0;0.0;0.0014;0.0021;0.0;0.0083;0.0007;0.0018;0.0;73.6;230.0;8.9;7.4;0.001
602;46;NL38_75754__NL38_342420;0.0017;64500.0;0.0018;0.0023;0.0;0.0006;1100.0;4000.0;75.0;8500.0;0.0068;0.0;0.0;0.0019;0.0045;0.0;0.0049;0.0009;0.0032;0.0;48.1;150.0;10.0;7.6;0.0013
603;46;NL40_C-371073__NL40_DWOP1019;0.0;78700.0;0.00641;0.00537;0.0;0.000933;2300.0;2500.0;25.0;3100.0;0.0109;0.000227;0.000473;0.00465;0.00629;0.000777;0.0711;0.00214;0.0071;0.000106;17.0;110.0;7.7;7.5;0.00161
604;46;NL40_C-371093__NL40_BO_15;0.0;242000.0;0.0;0.00482;0.0;0.00104;1200.0;3200.0;58.0;6600.0;0.00533;0.000191;0.000201;0.00214;0.00545;0.000327;0.00328;0.00157;0.00485;0.0;160.0;220.0;10.4;7.6;0.00149
606;46;NL40_C-371138__NL40_YOP_0132;0.025;95200.0;0.0091;0.011;0.0;0.0019;2300.0;3200.0;41.0;4700.0;0.015;0.0;0.0012;0.0082;0.016;0.0012;0.04;0.0056;0.012;0.0;29.6;100.0;10.4;7.5;0.0066
607;46;NL40_C-371140__NL40_YOP_0601;0.0;86000.0;0.01;0.00846;0.0;0.00134;1900.0;2500.0;37.0;4300.0;0.0109;0.000321;0.000513;0.00285;0.00532;0.00069;0.0123;0.00272;0.00757;0.00011;40.2;160.0;10.0;7.4;0.00257
608;46;NL40_C-371145__NL40_YOP_0801;0.0032;74300.0;0.0034;0.012;0.0;0.0015;5300.0;5300.0;28.0;3100.0;0.016;0.0;0.0;0.0047;0.0069;0.0006;0.017;0.0084;0.0063;0.0;57.2;200.0;10.4;7.5;0.0079
626;48;NL38_75730__NL38_140216;0.0014;51800.0;0.0027;0.0032;0.0;0.0008;1200.0;4700.0;88.0;10500.0;0.0046;0.0;0.0;0.003;0.0098;0.0;0.0085;0.0013;0.0059;0.0;43.9;290.0;8.4;7.5;0.0018
627;48;NL40_C-371235__NL40_FO_03;0.0;216000.0;0.0;0.00318;0.0;0.000542;1800.0;9400.0;75.0;8900.0;0.00728;0.000176;7.96e-05;0.000646;0.00127;0.000108;0.00248;0.000853;0.00154;0.0;27.7;95.0;8.9;7.7;0.000855
628;48;NL40_C-371245__NL40_BO_95;0.0;406000.0;0.0019;0.0084;0.0007;0.013;1400.0;1600.0;80.0;9700.0;0.021;0.0018;0.001;0.015;0.03;0.0029;0.055;0.015;0.026;0.0;6.03;40.0;7.9;8.0;0.016
629;48;NL40_C-371262__NL40_HOP_1011;0.0;66200.0;0.0005;0.0045;0.0;0.0;1800.0;7100.0;56.0;7200.0;0.0058;0.0;0.0;0.0009;0.0013;0.0;0.0091;0.0011;0.0081;0.0;52.7;140.0;5.0;7.6;0.0011
640;49;NL38_75724__NL38_140213;0.0;40200.0;0.017;0.0026;0.0;0.0005;3200.0;7400.0;82.0;10500.0;0.0071;0.0;0.0;0.0022;0.0031;0.0;0.016;0.0007;0.0018;0.0;167.0;360.0;4.7;7.0;0.0014
641;49;NL38_75746__NL38_340438;0.0016;43600.0;0.0003;0.0086;0.0;0.0057;1500.0;4700.0;66.0;8500.0;0.0078;0.0025;0.0;0.0034;0.0091;0.0;0.01;0.0032;0.0041;0.0;17.3;250.0;4.6;7.3;0.0068
645;49;NL40_C-371272__NL40_DWOP0703;0.0036;125000.0;0.008;0.0052;0.0;0.0015;2500.0;3700.0;50.0;6500.0;0.021;0.0;0.0;0.0085;0.022;0.0024;0.15;0.0032;0.032;0.0;16.0;40.0;4.5;7.8;0.0046
646;49;NL40_C-371273__NL40_DWOP0705;0.0;103000.0;0.0062;0.0056;0.0;0.0012;2000.0;2100.0;50.0;6400.0;0.013;0.0;0.0007;0.0053;0.0076;0.0011;0.059;0.0029;0.0082;0.0;25.2;140.0;5.1;7.7;0.0039
647;49;NL40_C-371278__NL40_DWOP1002;0.0;65900.0;0.0089;0.0066;0.0;0.0011;2200.0;2300.0;56.0;7200.0;0.0088;0.0;0.0;0.0032;0.0049;0.0006;0.031;0.0031;0.0053;0.0;265.0;350.0;4.9;7.8;0.0041
648;49;NL40_C-371280__NL40_DWOP1005;0.0;64400.0;0.0056;0.0056;0.0;0.0009;1600.0;1800.0;59.0;7600.0;0.015;0.0;0.0;0.021;0.041;0.0012;0.081;0.0036;0.018;0.0;35.0;96.0;5.0;7.8;0.0036
649;49;NL40_C-371281__NL40_DWOP1301;0.0;87300.0;0.0061;0.017;0.0;0.0013;1500.0;1800.0;61.0;7800.0;0.013;0.0;0.0;0.0053;0.0083;0.0006;0.18;0.0019;0.0056;0.0;45.7;64.0;5.2;7.9;0.0025
650;49;NL40_C-371302__NL40_BOP_2712;0.0;703000.0;0.0;0.00332;0.0;0.00158;3700.0;5900.0;75.0;9500.0;0.0077;0.000298;0.0002;0.00183;0.00298;0.000295;0.0054;0.00237;0.00318;0.0;48.0;290.0;6.0;7.5;0.0019
660;50;NL40_C-371361__NL40_DWOP1019;0.0;79400.0;0.0091;0.0067;0.0;0.0038;2200.0;3200.0;53.0;6300.0;0.0098;0.0;0.0005;0.0053;0.0071;0.0011;0.099;0.0027;0.0072;0.0;14.0;85.0;8.1;7.8;0.0034
661;50;NL40_C-371368__NL40_YOP_0601;0.0;101000.0;0.0047;0.00706;0.000164;0.00271;1700.0;2800.0;59.0;7100.0;0.00996;0.000649;0.000675;0.00338;0.0067;0.00112;0.015;0.00392;0.00761;0.000169;12.4;98.0;7.7;7.9;0.00381
662;50;NL40_C-371370__NL40_YOP_0801;0.0095;71300.0;0.0034;0.014;0.0;0.0026;3500.0;3800.0;50.0;6100.0;0.015;0.0;0.0007;0.0063;0.011;0.0013;0.03;0.013;0.012;0.0;35.5;140.0;7.1;7.7;0.01
663;50;NL40_C-371383__NL40_FOP_1710;0.0;382000.0;0.0;0.00333;0.0;0.000463;1500.0;9900.0;68.0;8000.0;0.0069;0.000175;9.77e-05;0.00073;0.00153;0.000114;0.00221;0.000603;0.00157;0.0;55.0;140.0;9.3;7.5;0.000705
664;50;NL40_C-371426__NL40_BO_15;0.0;242000.0;0.0;0.00433;0.0;0.00114;1400.0;6000.0;69.0;8200.0;0.00609;0.000229;0.00014;0.00204;0.00598;0.000273;0.0039;0.00118;0.00451;0.0;265.0;310.0;8.5;7.5;0.00135
672;51;NL38_75755__NL38_342420;0.0023;59400.0;0.0029;0.0033;0.0;0.0011;1300.0;5100.0;76.0;9600.0;0.01;0.0;0.0;0.003;0.0068;0.0;0.0087;0.0015;0.0057;0.0;46.6;180.0;6.0;7.5;0.0023
