;Parameter__Hoedanigheid__Eenheid;Unnamed: 1;2PFC6yC2a1sf__NVT__ug/l;Cl__NVT__ug/l;FRD-903__NVT__ug/l;L_PFBS__NVT__ug/l;L_PFHpS__NVT__ug/l;L_PFHxS__NVT__ug/l;NKj__N__ug/l;Ntot__N__ug/l;O2__NVT__%;O2__NVT__ug/l;PFBA__NVT__ug/l;PFC5asfzr__NVT__ug/l;PFDA__NVT__ug/l;PFHpA__NVT__ug/l;PFHxA__NVT__ug/l;PFNA__NVT__ug/l;PFOA__NVT__ug/l;PFOS__NVT__ug/l;PFPA__NVT__ug/l;PFUdA__NVT__ug/l;PO4__Pnf__ug/l;Ptot__P__ug/l;T__NVT__oC;pH__NVT__DIMSLS;sverttPFOS__NVT__ug/l
302;23;NL38_74255__NL38_140213;0.0;42500.0;0.038;0.0029;0.0;0.0006;1500.0;3600.0;69.0;6200.0;0.0081;0.0;0.0;0.0023;0.0028;0.0005;0.02;0.0014;0.003;0.0;117.0;260.0;20.8;7.3;0.0013
303;23;NL38_74257__NL38_342420;0.0027;58700.0;0.0039;0.0028;0.0;0.0007;1600.0;3100.0;129.0;10700.0;0.0055;0.0;0.0006;0.003;0.0053;0.001;0.0076;0.0019;0.004;0.0;33.0;180.0;23.4;8.0;0.0016
304;23;NL38_75174__NL38_340438;0.0025;52300.0;0.0003;0.0041;0.0;0.0023;2100.0;3700.0;106.0;9100.0;0.0063;0.0008;0.0;0.0029;0.0067;0.0007;0.01;0.0028;0.0037;0.0;63.2;250.0;22.0;7.7;0.0026
305;23;NL40_C-368186__NL40_FO_03;0.0;453000.0;0.0;0.00527;0.0;0.00133;1200.0;1600.0;85.0;7200.0;0.00866;0.000322;0.000248;0.00376;0.00426;0.000566;0.00481;0.00259;0.00633;0.0;21.7;85.0;23.1;7.9;0.00258
306;23;NL40_C-368203__NL40_YOP_0132;0.0036;110000.0;0.01;0.013;0.0;0.0028;990.0;1300.0;129.0;11300.0;0.018;0.0;0.0011;0.0088;0.014;0.0019;0.081;0.0058;0.012;0.0;14.8;63.0;20.9;8.0;0.0072
307;23;NL40_C-368207__NL40_YOP_0801;0.0;100000.0;0.0031;0.013;0.0;0.0019;3400.0;4000.0;95.0;8100.0;0.013;0.0;0.0;0.0049;0.0075;0.0008;0.03;0.0048;0.0058;0.0;0.0;210.0;22.3;7.9;0.0087
317;24;NL40_C-368257__NL40_DWOP0807;0.0;73100.0;0.0023;0.0091;0.0;0.0009;1100.0;1200.0;109.0;9800.0;0.013;0.0;0.0;0.0024;0.0031;0.0;0.039;0.0012;0.0026;0.0;7.09;50.0;20.8;7.7;0.0029
318;24;NL40_C-368347__NL40_FOP_1710;0.0;68300.0;0.0;0.00954;0.0;0.00129;630.0;2100.0;101.0;8600.0;0.00493;0.000302;0.000237;0.00201;0.00407;0.000436;0.00306;0.0022;0.00511;0.0;45.8;81.0;23.1;8.2;0.00207
332;25;NL38_75170__NL38_140216;0.01;56700.0;0.005;0.0028;0.0;0.0018;1500.0;3000.0;74.0;6800.0;0.0057;0.0;0.0008;0.004;0.0098;0.0007;0.0086;0.0032;0.0075;0.0;123.0;400.0;19.5;7.5;0.0053
333;25;NL40_C-368488__NL40_BO_15;0.0;174000.0;0.0;0.00641;0.0;0.00124;1700.0;3400.0;36.0;3300.0;0.00834;0.000286;0.000551;0.0035;0.00726;0.000686;0.00491;0.00325;0.0069;0.000132;443.0;470.0;19.3;7.5;0.00263
